customer_name,total_sales,total_quantity,total_profit,average_discount,average_shipping_days,number_of_orders,cluster,segment_name
Aaron Bergman,24646.0,301,4683.208,0.11011235955056181,3.707865168539326,89,0,High-Value Customers
Aaron Hawkins,20759.0,231,2450.92904,0.16092857142857145,3.4642857142857144,56,0,High-Value Customers
Aaron Smayling,14207.0,211,369.1618,0.16766666666666669,4.433333333333334,60,1,Regular Customers
Adam Bellavance,20189.0,262,4979.9769,0.13176470588235295,3.514705882352941,68,0,High-Value Customers
Adam Hart,21720.0,293,1902.03342,0.09323809523809523,3.6547619047619047,84,0,High-Value Customers
Adam Shillingsburg,15445.0,238,1421.27412,0.16340845070422536,4.028169014084507,71,0,High-Value Customers
Adrian Barton,25125.0,265,6417.2845,0.2090909090909091,3.896103896103896,77,0,High-Value Customers
Adrian Hane,11406.0,207,2081.37928,0.12785185185185186,3.925925925925926,54,1,Regular Customers
Adrian Shami,11287.0,144,1564.4938,0.15863636363636366,3.477272727272727,44,1,Regular Customers
Aimee Bixby,16205.0,208,2926.3543,0.10730909090909091,3.5636363636363635,55,1,Regular Customers
Alan Barnes,13053.0,232,2436.066,0.08916666666666666,4.2,60,1,Regular Customers
Alan Dominguez,18538.0,167,1539.9922000000001,0.16490909090909092,3.9272727272727272,55,1,Regular Customers
Alan Haines,15281.0,258,-592.24612,0.1844935064935065,3.8701298701298703,77,0,High-Value Customers
Alan Hwang,23641.0,292,4342.37078,0.11083783783783784,4.0675675675675675,74,0,High-Value Customers
Alan Schoenberger,21837.0,231,2503.6348,0.16287671232876713,4.205479452054795,73,0,High-Value Customers
Alan Shonely,10692.0,246,1175.45416,0.12742857142857145,3.6507936507936507,63,1,Regular Customers
Alejandro Ballentine,15463.0,207,758.6139,0.11529411764705882,4.485294117647059,68,1,Regular Customers
Alejandro Grove,13419.0,255,2602.57212,0.04901492537313432,3.7761194029850746,67,0,High-Value Customers
Alejandro Savely,21124.0,273,2533.56606,0.056519480519480525,3.844155844155844,77,0,High-Value Customers
Aleksandra Gannaway,14715.0,206,773.1465999999999,0.16758620689655174,4.120689655172414,58,1,Regular Customers
Alex Avila,15993.0,165,983.2565,0.12300000000000001,4.02,50,1,Regular Customers
Alex Grayson,15071.0,250,1006.97208,0.2132987012987013,3.4935064935064934,77,0,High-Value Customers
Alex Russell,16469.0,209,2290.6598,0.1446875,4.203125,64,1,Regular Customers
Alice McCarthy,18765.0,284,2977.8523999999998,0.08792207792207793,3.987012987012987,77,0,High-Value Customers
Allen Armold,6537.0,169,754.9193999999999,0.16181818181818183,3.6545454545454548,55,1,Regular Customers
Allen Goldenen,8928.0,178,447.265,0.2038490566037736,3.4150943396226414,53,1,Regular Customers
Allen Rosenblatt,9529.0,168,-552.28182,0.19044,4.42,50,1,Regular Customers
Alyssa Crouse,12296.0,180,444.03550000000007,0.13590163934426228,4.245901639344262,61,1,Regular Customers
Alyssa Tate,14945.0,185,2795.5313,0.1789230769230769,4.3076923076923075,65,1,Regular Customers
Amy Cox,17155.0,143,3980.4112,0.17102564102564102,3.358974358974359,39,1,Regular Customers
Amy Hunt,9202.0,143,718.3349800000001,0.09087179487179488,3.8205128205128207,39,1,Regular Customers
Andrew Allen,19758.0,175,2071.08818,0.105875,4.3125,48,1,Regular Customers
